Group;Key;Text;codeEL;codeNT;codePython;codePRT
Default;Cnot0;Close not zero;close[0] <> 0;Close[0] != 0;C[-1] != 0;close[0] <> 0
Day Of Week;Monday;Monday;dayOfWeek(date) = 1;Time[0].DayOfWeek == DayOfWeek.Monday;data[stocks[0]].datetime.weekday() == 0;dayofweek = 1
Day Of Week;Tuesday;Tuesday;dayOfWeek(date) = 2;Time[0].DayOfWeek == DayOfWeek.Tuesday;data[stocks[0]].datetime.weekday() == 1;dayofweek = 2
Day Of Week;Wednesday;Wednesday;dayOfWeek(date) = 3;Time[0].DayOfWeek == DayOfWeek.Wednesday;data[stocks[0]].datetime.weekday() == 2;dayofweek = 3
Day Of Week;Thursday;Thursday;dayOfWeek(date) = 4;Time[0].DayOfWeek == DayOfWeek.Thursday;data[stocks[0]].datetime.weekday() == 3;dayofweek = 4
Day Of Week;Friday;Friday;dayOfWeek(date) = 5;Time[0].DayOfWeek == DayOfWeek.Friday;data[stocks[0]].datetime.weekday() == 4;dayofweek = 5
Day Of Week;NotMonday;Not Monday;dayOfWeek(date) <> 1;Time[0].DayOfWeek != DayOfWeek.Monday;data[stocks[0]].datetime.weekday() != 0;dayofweek <> 1
Day Of Week;NotTuesday;Not Tuesday;dayOfWeek(date) <> 2;Time[0].DayOfWeek != DayOfWeek.Tuesday;data[stocks[0]].datetime.weekday() != 1;dayofweek <> 2
Day Of Week;NotWednesday;Not Wednesday;dayOfWeek(date) <> 3;Time[0].DayOfWeek != DayOfWeek.Wednesday;data[stocks[0]].datetime.weekday() != 2;dayofweek <> 3
Day Of Week;NotThursday;Not Thursday;dayOfWeek(date) <> 4;Time[0].DayOfWeek != DayOfWeek.Thursday;data[stocks[0]].datetime.weekday() != 3;dayofweek <> 4
Day Of Week;NotFriday;Not Friday;dayOfWeek(date) <> 5;Time[0].DayOfWeek != DayOfWeek.Friday;data[stocks[0]].datetime.weekday() != 4;dayofweek <> 5
Day Of Week;MT;Monday + Tuesday;MonTues = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Tuesday);data[stocks[0]].datetime.weekday() <= 1;(dayofweek = 1 or dayofweek = 2)
Day Of Week;MW;Monday + Wednesday;MonWed = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Wednesday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 2);(dayofweek = 1 or dayofweek = 3)
Day Of Week;MR;Monday + Thursday;MonThur = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Thursday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 3);(dayofweek = 1 or dayofweek = 4)
Day Of Week;MF;Monday + Friday;MonFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 1 or dayofweek = 5)
Day Of Week;TW;Tuesday + Wednesday;TuesWed = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Wednesday);(data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 2);(dayofweek = 2 or dayofweek = 3)
Day Of Week;TR;Tuesday + Thursday;TuesThur = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Thursday);data[stocks[0]].datetime.weekday() % 2 != 0;(dayofweek = 2 or dayofweek = 4)
Day Of Week;TF;Tuesday + Friday;TuesFri = 1;(Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 2 or dayofweek = 5)
Day Of Week;WR;Wednesday + Thursday;WedThur = 1;(Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Thursday);(data[stocks[0]].datetime.weekday() == 2 or data[stocks[0]].datetime.weekday() == 3);(dayofweek = 3 or dayofweek = 4)
Day Of Week;WF;Wednesday + Friday;WedFri = 1;(Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 2 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 3 or dayofweek = 5)
Day Of Week;RF;Thursday + Friday;ThurFri = 1;(Time[0].DayOfWeek == DayOfWeek.Thursday || Time[0].DayOfWeek == DayOfWeek.Friday);data[stocks[0]].datetime.weekday() >= 3;(dayofweek = 4 or dayofweek = 5)
Day Of Week;MTW;Mon + Tues + Wed;MonTuesWed = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Wednesday);data[stocks[0]].datetime.weekday() <= 2;(dayofweek = 1 or dayofweek = 2 or dayofweek = 3)
Day Of Week;MTR;Mon + Tues + Thurs;MonTuesThur = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Thursday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 3);(dayofweek = 1 or dayofweek = 2 or dayofweek = 4)
Day Of Week;MTF;Mon + Tues + Fri;MonTuesFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Tuesday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 1 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 1 or dayofweek = 2 or dayofweek = 5)
Day Of Week;MWR;Mon + Wed + Thurs;MonWedThur = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Thursday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 2 or data[stocks[0]].datetime.weekday() == 3);(dayofweek = 1 or dayofweek = 3 or dayofweek = 4)
Day Of Week;MWF;Mon + Wed + Fri;MonWedFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Wednesday || Time[0].DayOfWeek == DayOfWeek.Friday);data[stocks[0]].datetime.weekday() % 2 == 0;(dayofweek = 1 or dayofweek = 3 or dayofweek = 5)
Day Of Week;MRF;Mon + Thurs + Fri;MonThurFri = 1;(Time[0].DayOfWeek == DayOfWeek.Monday || Time[0].DayOfWeek == DayOfWeek.Thursday || Time[0].DayOfWeek == DayOfWeek.Friday);(data[stocks[0]].datetime.weekday() == 0 or data[stocks[0]].datetime.weekday() == 3 or data[stocks[0]].datetime.weekday() == 4);(dayofweek = 1 or dayofweek = 4 or dayofweek = 5)
